,code,title,pointsR1,pointsR2,LEVEL
807,LM044,Applied Languages,442,,8
808,LM050,Business Studies (options),431,,8
809,LM056,International Business,528,,8
810,LM058,Financial Mathematics,403,,8
811,LM063,Technology Management,379,,8
812,LM068,Food Science and Health,421,,8
813,LM076,Product Design and Technology (portfolio required),408,,8
814,LM077,Aeronautical Engineering,520,,8
815,LM082,Construction Management and Engineering,398,,8
816,LM089,Sport and Exercise Sciences,474,,8
817,LM090,Physical Education with concurrent Teacher Education,532,,8
818,LM091,Languages with concurrent Teacher Education,517,,8
819,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507,,8
820,LM093,Equine Science,339,,8
821,LM094,Materials and Architectural Technology with concurrent Teacher Education,440,,8
822,LM095,Materials and Engineering Technology with concurrent Teacher Education,367,,8
823,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405,,8
824,LM097,Mathematics and Computer Science with concurrent Teacher Education,402,,8
825,LM099,Architecture (portfolio requirement suspended),498,,8
826,LM100,Physiotherapy,589,,8
827,LM101,Medicine  - Graduate Entry (GAMSAT required),55,,8
828,LM102,Psychology,509,,8
829,LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392,,8
830,LM115,Chemical and Biochemical Engineering,454,,8
831,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476,,8
832,LM118,Electronic and Computer Engineering,403,,8
